Sample,Pquery,Multiplicity,EDPL
RAxML_portableTree.dino_epa,77d331b6c643673e276b62b2e15516237f8ccc95_20,1,0.153837
RAxML_portableTree.dino_epa,d089ac883663426a904bc9f2931c308f192daf21_17,1,0.0770602
RAxML_portableTree.dino_epa,e15cb9898273060c229841f7fb78909e71605eda_26,1,0.249176
RAxML_portableTree.dino_epa,052e375b1b8b03de9eabd6a56c290fd8bf2bdce8_21,1,0.109025
RAxML_portableTree.dino_epa,3f0e54d8c01430218d451533f9f0a51a73c940c2_14,1,0.284158
RAxML_portableTree.dino_epa,6081f75ff97eecd031bcbf61649012efaf8bdb9c_37,1,0.0726596
RAxML_portableTree.dino_epa,8aedb764b91c410e79af9a410626e2d190432588_18,1,0.0338118
RAxML_portableTree.dino_epa,a3f25554630d8b611b934cd5129e486ee8f74c45_16,1,0.677857
RAxML_portableTree.dino_epa,a9b2531cf2d5178e21d4aaa7dcc622e7606cce16_14,1,0.0726154
RAxML_portableTree.dino_epa,05a727ecc8072d8ff4e676fe70250eeb661e2aa5_11,1,0.12199
RAxML_portableTree.dino_epa,223ed0fe0e2696e07d5888992182926f8cdb6d2f_11,1,0
RAxML_portableTree.dino_epa,2c7f5ae8e54dc84205013a4ace2b3f486aee8903_13,1,0.509142
RAxML_portableTree.dino_epa,3d184ea6a8005e325a98496bc2c0e46d90a0b570_23,1,0.660139
RAxML_portableTree.dino_epa,478a288b1bd9efce4a7784f481579015b448dfea_10,1,0.515843
RAxML_portableTree.dino_epa,4cfa51b52bf80fb0132dbeee7c77311d55ebbbc3_14,1,0.0575369
RAxML_portableTree.dino_epa,4db83ae1a5b02c7637ee985a00935ea6da0034a9_10,1,0.308609
RAxML_portableTree.dino_epa,92e8d7273417b4283b07356893bcd9335a41966a_23,1,0.20495
RAxML_portableTree.dino_epa,f590b48a342ddad6a9b77178cd18445c05376fd3_13,1,0.0772766
RAxML_portableTree.dino_epa,0201701ea9ed0304fa8260cdc5f8b790895c17d6_14,1,0.114827
RAxML_portableTree.dino_epa,8c5a62d7716b4a5bfe911645a800d36e59afe6dd_18,1,0.176014
RAxML_portableTree.dino_epa,29deeb67c772ac4044ec71744905921a9f68ee5c_9,1,0.439103
RAxML_portableTree.dino_epa,44f11409dfc8e3a951af2ffe4c26da1f8b26ba60_26,1,0.0830077
RAxML_portableTree.dino_epa,4b8ba3c5e3cb0ebb0c0353e28b73998824a941fc_8,1,0.0752479
RAxML_portableTree.dino_epa,569d0c5bc6ed01e1b559e01eed5685ae66ab2228_12,1,0.090921
