Sample,PqueryName,Multiplicity,LWR.1,LWR.2,LWR.3,LWR.4,LWR.5,Remainder
RAxML_portableTree.dino_epa,f07fe2f6863eaffd02c34329d2fe3d42a6bda1f0_46,1,0.080949,0.080695,0.080668,0.080665,0.080371,0.587224
RAxML_portableTree.dino_epa,324400ced585bf75f1c2890a951aba1a4d6eb460_58,1,0.506931,0.375428,0.095844,0.005484,0.005432,0.003234
RAxML_portableTree.dino_epa,e398752440eed639b239a26a925e360b69b299f8_191,1,0.435478,0.302332,0.262172,0.0,0.0,0.0
RAxML_portableTree.dino_epa,141fb7981938a04cae738acc6e1a4461178c37bf_49,1,0.104956,0.089537,0.087332,0.068878,0.068457,0.57098
RAxML_portableTree.dino_epa,717ab87a0c314e50ef5a691d5834310a412134fe_47,1,0.475466,0.281828,0.242565,0.0,0.0,0.0
RAxML_portableTree.dino_epa,04acab29ba78ca3d301602c7083326ca9fb8268d_35,1,0.386306,0.306938,0.306756,0.0,0.0,0.0
RAxML_portableTree.dino_epa,557eccbbd5a730515faee95c3fd93332d424bb1a_43,1,0.32912,0.32861,0.328573,0.007033,0.0,0.0
RAxML_portableTree.dino_epa,b50db50ae4943641b8a86e73a9dc95baa4a19980_79,1,0.999999,0.0,0.0,0.0,0.0,0.0
RAxML_portableTree.dino_epa,bea5d30af60fb8467c4e1d6ec2491c7a027f34ae_46,1,0.099859,0.052309,0.037739,0.037245,0.036617,0.72627
RAxML_portableTree.dino_epa,de7add9cb1d2ef7f2b25e550b24a9fdee05fefb0_41,1,0.564495,0.027919,0.027309,0.02583,0.018503,0.326037
RAxML_portableTree.dino_epa,01f843ca567112849d23759e6fc29b0c6c8b7940_42,1,0.149106,0.149086,0.136051,0.044801,0.030987,0.480148
RAxML_portableTree.dino_epa,de73d3a95a35d48bee80d3e42f5f428675979f9c_37,1,0.194554,0.194553,0.192022,0.18682,0.186811,0.036349
RAxML_portableTree.dino_epa,1d0d47eb3fed4d61b55a7038a12b1a450c99d492_68,1,0.853668,0.016262,0.016191,0.014831,0.014786,0.082667
